»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2019-04-26,'300616,…–∆∑’¨≈‰,89.0,91.46,87.7,90.59,90.57,-1.57,-1.7335,0.7483,656952,58370090.12,17682395400.0,7813270662.0
2019-04-25,'300616,…–∆∑’¨≈‰,90.57,95.22,90.2,95.22,94.88,-4.31,-4.5426,0.4573,401420,37149077.51,17994320802.0,7951100268.06
2019-04-24,'300616,…–∆∑’¨≈‰,94.88,95.97,92.6,95.34,94.99,-0.11,-0.1158,0.4343,381281,35928204.15,18850625568.0,8329473263.04
2019-04-23,'300616,…–∆∑’¨≈‰,94.99,96.22,87.08,87.08,89.18,5.81,6.5149,0.7742,679645,62864802.96,18872480214.0,8339130114.42
2019-04-22,'300616,…–∆∑’¨≈‰,89.18,93.7,87.06,93.7,95.21,-6.03,-6.3334,1.1052,970209,86806955.63,17718157548.0,7829072782.44
2019-04-19,'300616,…–∆∑’¨≈‰,95.21,95.3,91.15,93.22,92.23,2.98,3.2311,0.4598,403646,37529317.23,18916189506.0,8358443817.18
2019-04-18,'300616,…–∆∑’¨≈‰,92.23,93.9,91.61,92.21,91.95,0.28,0.3045,0.4872,427673,39623877.6,18324127278.0,8096830934.34
2019-04-17,'300616,…–∆∑’¨≈‰,91.95,94.8,91.44,92.99,93.33,-1.38,-1.4786,0.4839,424833,39341004.09,18268497270.0,8072249858.1
2019-04-16,'300616,…–∆∑’¨≈‰,93.33,94.23,90.32,93.21,93.25,0.08,0.0858,0.4274,375200,34731404.13,18542673738.0,8193399448.14
2019-04-15,'300616,…–∆∑’¨≈‰,93.25,97.5,90.39,93.86,91.78,1.47,1.6017,0.7816,686196,65307647.52,18526779450.0,8186376283.5
2019-04-12,'300616,…–∆∑’¨≈‰,91.78,94.48,89.92,93.94,93.5,-1.72,-1.8396,0.577,506582,46338175.48,18234721908.0,8057325633.24
2019-04-11,'300616,…–∆∑’¨≈‰,93.5,97.87,91.27,96.7,96.52,-3.02,-3.1289,0.5211,457470,42838710.59,18576449100.0,8208323673.0
2019-04-10,'300616,…–∆∑’¨≈‰,96.52,98.2,93.68,95.74,95.62,0.9,0.9412,0.7713,677135,65289815.98,19176458472.0,8473448138.16
2019-04-09,'300616,…–∆∑’¨≈‰,95.62,97.0,94.6,96.3,95.0,0.62,0.6526,0.7759,681198,65227860.79,18997647732.0,8394437535.96
2019-04-08,'300616,…–∆∑’¨≈‰,95.0,99.46,94.06,97.53,97.53,-2.53,-2.5941,0.9588,841762,81098842.01,18874467000.0,8340008010.0
2019-04-04,'300616,…–∆∑’¨≈‰,97.53,99.7,97.3,99.61,98.7,-1.17,-1.1854,0.3649,320384,31549643.36,19377123858.0,8562115591.74
2019-04-03,'300616,…–∆∑’¨≈‰,98.7,100.0,96.25,100.0,100.0,-1.3,-1.3,0.5042,442609,43200541.41,19609577820.0,8664829374.6
2019-04-02,'300616,…–∆∑’¨≈‰,100.0,100.45,95.8,96.21,97.26,2.74,2.8172,1.0083,885213,87007738.08,19867860000.0,8778955800.0
2019-04-01,'300616,…–∆∑’¨≈‰,97.26,97.26,89.04,89.1,88.42,8.84,9.9977,1.9466,1708891,164132497.68,19323480636.0,8538412411.08
2019-03-29,'300616,…–∆∑’¨≈‰,88.42,88.42,84.04,84.89,84.4,4.02,4.763,0.8133,713991,62350658.29,17567161812.0,7762352718.36
2019-03-28,'300616,…–∆∑’¨≈‰,84.4,87.4,84.0,87.4,87.2,-2.8,-3.211,0.5049,443273,37896640.03,16768473840.0,7409438695.2
2019-03-27,'300616,…–∆∑’¨≈‰,87.2,87.2,83.02,83.99,83.72,3.48,4.1567,0.4635,406864,34715059.28,17324773920.0,7655249457.6
2019-03-26,'300616,…–∆∑’¨≈‰,83.72,87.8,83.62,85.85,87.24,-3.52,-4.0348,0.4822,423353,36290179.76,16633372392.0,7349741795.76
2019-03-25,'300616,…–∆∑’¨≈‰,87.24,88.22,82.62,84.09,84.29,2.95,3.4998,0.7596,666868,57794064.54,17332721064.0,7658761039.92
2019-03-22,'300616,…–∆∑’¨≈‰,84.29,84.5,81.77,83.9,83.09,1.2,1.4442,0.5419,475689,39653648.94,16746619194.0,7399781843.82
2019-03-21,'300616,…–∆∑’¨≈‰,83.09,83.69,81.31,82.45,81.45,1.64,2.0135,0.6157,540526,44670231.82,16508204874.0,7294434374.22
2019-03-20,'300616,…–∆∑’¨≈‰,81.45,83.4,80.3,82.5,83.01,-1.56,-1.8793,0.4217,370202,30137172.22,16182371970.0,7150459499.1
2019-03-19,'300616,…–∆∑’¨≈‰,83.01,84.47,82.27,82.71,82.69,0.32,0.387,0.5574,489331,40685765.54,16492310586.0,7287411209.58
2019-03-18,'300616,…–∆∑’¨≈‰,82.69,82.86,79.25,80.37,80.04,2.65,3.3108,0.6083,534003,43674335.82,16428733434.0,7259318551.02
2019-03-15,'300616,…–∆∑’¨≈‰,80.04,80.89,78.61,79.95,78.6,1.44,1.8321,0.4168,365895,29304941.9,15902235144.0,7026676222.32
2019-03-14,'300616,…–∆∑’¨≈‰,78.6,82.36,78.0,80.99,80.35,-1.75,-2.178,0.6991,613745,49296466.2,15616137960.0,6900259258.8
2019-03-13,'300616,…–∆∑’¨≈‰,80.35,81.45,79.2,79.44,80.01,0.34,0.4249,0.613,538154,43288228.47,15963825510.0,7053890985.3
2019-03-12,'300616,…–∆∑’¨≈‰,80.01,82.0,79.55,81.86,80.09,-0.08,-0.0999,0.6816,598360,48218840.6,15896274786.0,7024042535.58
2019-03-11,'300616,…–∆∑’¨≈‰,80.09,80.39,78.2,78.8,78.99,1.1,1.3926,0.6238,547655,43408814.1,15912169074.0,7031065700.22
2019-03-08,'300616,…–∆∑’¨≈‰,78.99,82.7,78.68,81.52,81.8,-2.81,-3.4352,0.7619,668850,53934409.2,15693622614.0,6934497186.42
2019-03-07,'300616,…–∆∑’¨≈‰,81.8,84.0,81.3,81.99,82.87,-1.07,-1.2912,0.6264,549948,45159381.96,16251909480.0,7181185844.4
