ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-08,'603638,°¬µÏ¾«ÃÜ,30.52,31.19,30.21,30.98,30.98,-0.46,-1.4848,1.2354,1049892,32112370.0,7949849600.0,2593638889.8
2019-04-04,'603638,°¬µÏ¾«ÃÜ,30.98,31.72,30.87,31.47,31.46,-0.48,-1.5257,1.1813,1003852,31159453.0,8069670400.0,2632730432.7
2019-04-03,'603638,°¬µÏ¾«ÃÜ,31.46,31.49,30.6,30.8,30.99,0.47,1.5166,1.3966,1186888,37221652.0,8194700800.0,2673521607.9
2019-04-02,'603638,°¬µÏ¾«ÃÜ,30.99,31.31,30.55,30.77,30.7,0.29,0.9446,1.4547,1236253,38285265.0,8072275200.0,2633580248.85
2019-04-01,'603638,°¬µÏ¾«ÃÜ,30.7,30.99,29.68,29.68,29.61,1.09,3.6812,1.5986,1358504,41408322.0,7996736000.0,2608935580.5
2019-03-29,'603638,°¬µÏ¾«ÃÜ,29.61,29.66,28.68,29.24,28.84,0.77,2.6699,1.0403,884052,25893080.0,7712812800.0,2516305620.15
2019-03-28,'603638,°¬µÏ¾«ÃÜ,28.84,29.48,28.84,28.84,28.84,0.0,0.0,0.7558,642271,18705700.0,7512243200.0,2450869776.6
2019-03-27,'603638,°¬µÏ¾«ÃÜ,28.84,29.0,28.32,28.5,28.75,0.09,0.313,1.0432,886561,25481844.0,7512243200.0,2450869776.6
2019-03-26,'603638,°¬µÏ¾«ÃÜ,28.75,30.13,28.68,29.82,29.7,-0.95,-3.1987,2.0746,1763058,51519489.0,7488800000.0,2443221431.25
2019-03-25,'603638,°¬µÏ¾«ÃÜ,29.7,30.58,29.54,29.78,30.47,-0.77,-2.5271,1.2474,1060033,31740048.0,7736256000.0,2523953965.5
2019-03-22,'603638,°¬µÏ¾«ÃÜ,30.47,30.57,29.1,30.21,30.65,-0.18,-0.5873,2.3136,1966111,58661097.0,7936825600.0,2589389809.05
2019-03-21,'603638,°¬µÏ¾«ÃÜ,30.65,32.79,30.65,32.79,31.22,-0.57,-1.8258,2.3692,2013345,63043797.0,7983712000.0,2604686499.75
2019-03-20,'603638,°¬µÏ¾«ÃÜ,31.22,31.45,30.43,31.0,31.09,0.13,0.4181,2.0127,1710440,52980647.0,8132185600.0,2653126020.3
2019-03-19,'603638,°¬µÏ¾«ÃÜ,31.09,31.45,30.37,30.86,30.73,0.36,1.1715,2.3224,1973613,61227705.0,8098323200.0,2642078410.35
2019-03-18,'603638,°¬µÏ¾«ÃÜ,30.73,31.49,28.9,28.9,28.72,2.01,6.9986,4.6623,3962093,120386824.0,8004550400.0,2611485028.95
2019-03-15,'603638,°¬µÏ¾«ÃÜ,28.72,28.94,28.13,28.13,28.1,0.62,2.2064,2.2299,1895033,54255952.0,7480985600.0,2440671982.8
2019-03-14,'603638,°¬µÏ¾«ÃÜ,28.1,28.88,27.69,28.88,28.88,-0.78,-2.7008,1.9871,1688633,47713014.0,7319488000.0,2387983381.5
2019-03-13,'603638,°¬µÏ¾«ÃÜ,28.88,29.48,28.76,28.86,29.05,-0.17,-0.5852,1.6014,1360933,39616535.0,7522662400.0,2454269041.2
2019-03-12,'603638,°¬µÏ¾«ÃÜ,29.05,29.8,28.69,29.12,29.15,-0.1,-0.3431,2.7223,2313469,66931586.0,7566944000.0,2468715915.75
2019-03-11,'603638,°¬µÏ¾«ÃÜ,29.15,29.3,28.09,28.12,28.3,0.85,3.0035,2.5102,2133180,61752308.0,7592992000.0,2477214077.25
2019-03-08,'603638,°¬µÏ¾«ÃÜ,28.3,28.8,27.6,27.82,28.4,-0.1,-0.3521,2.816,2393115,67604365.0,7371584000.0,2404979704.5
2019-03-07,'603638,°¬µÏ¾«ÃÜ,28.4,28.94,27.94,27.94,28.35,0.05,0.1764,1.6053,1364183,38863721.0,7397632000.0,2413477866.0
2019-03-06,'603638,°¬µÏ¾«ÃÜ,28.35,29.25,27.92,28.62,28.78,-0.43,-1.4941,2.0007,1700209,48436335.0,7384608000.0,2409228785.25
2019-03-05,'603638,°¬µÏ¾«ÃÜ,28.78,28.89,27.27,27.71,27.79,0.99,3.5624,2.9067,2470136,70378414.0,7496614400.0,2445770879.7
2019-03-04,'603638,°¬µÏ¾«ÃÜ,27.79,28.6,27.27,27.57,27.53,0.26,0.9444,2.9044,2468176,69237153.0,7238739200.0,2361639080.85
2019-03-01,'603638,°¬µÏ¾«ÃÜ,27.53,27.63,27.04,27.04,27.01,0.52,1.9252,2.5681,2182372,59907812.0,7171014400.0,2339543860.95
2019-02-28,'603638,°¬µÏ¾«ÃÜ,27.01,27.46,26.83,27.37,27.18,-0.17,-0.6255,2.3346,1984022,53784030.0,7035564800.0,2295353421.15
2019-02-27,'603638,°¬µÏ¾«ÃÜ,27.18,27.85,27.16,27.6,27.6,-0.42,-1.5217,2.1559,1832088,50348817.0,7079846400.0,2309800295.7
2019-02-26,'603638,°¬µÏ¾«ÃÜ,27.6,28.53,27.29,27.34,27.7,-0.1,-0.361,3.6251,3080701,85672304.0,7189248000.0,2345492574.0
2019-02-25,'603638,°¬µÏ¾«ÃÜ,27.7,27.88,26.54,26.78,26.77,0.93,3.474,4.1718,3545265,97122737.0,7215296000.0,2353990735.5
2019-02-22,'603638,°¬µÏ¾«ÃÜ,26.77,26.9,26.1,26.79,26.79,-0.02,-0.0747,2.064,1753987,46356977.0,6973049600.0,2274957833.55
2019-02-21,'603638,°¬µÏ¾«ÃÜ,26.79,27.19,26.42,27.19,27.19,-0.4,-1.4711,2.6152,2222423,59631615.0,6978259200.0,2276657465.85
2019-02-20,'603638,°¬µÏ¾«ÃÜ,27.19,28.35,27.13,27.13,26.08,1.11,4.2561,3.6705,3119211,85863641.0,7082451200.0,2310650111.85
2019-02-19,'603638,°¬µÏ¾«ÃÜ,26.08,26.25,25.41,25.8,25.65,0.43,1.6764,2.161,1836484,47435570.0,6793318400.0,2216320519.2
2019-02-18,'603638,°¬µÏ¾«ÃÜ,25.65,25.65,24.57,24.85,24.53,1.12,4.5658,1.9016,1615971,40827750.0,6681312000.0,2179778424.75
2019-02-15,'603638,°¬µÏ¾«ÃÜ,24.53,24.97,24.53,24.97,24.78,-0.25,-1.0089,0.5029,427400,10538616.0,6389574400.0,2084599015.95
2019-02-14,'603638,°¬µÏ¾«ÃÜ,24.78,24.8,24.5,24.65,24.64,0.14,0.5682,0.5676,482397,11924260.0,6454694400.0,2105844419.7
2019-02-13,'603638,°¬µÏ¾«ÃÜ,24.64,24.73,24.16,24.26,24.16,0.48,1.9868,0.9134,776256,18970737.0,6418227200.0,2093946993.6
2019-02-12,'603638,°¬µÏ¾«ÃÜ,24.16,24.36,23.81,23.93,23.86,0.3,1.2573,1.0085,857071,20683333.0,6293196800.0,2053155818.4
2019-02-11,'603638,°¬µÏ¾«ÃÜ,23.86,23.88,23.21,23.5,23.3,0.56,2.4034,0.9244,785608,18467760.0,6215052800.0,2027661333.9
2019-02-01,'603638,°¬µÏ¾«ÃÜ,23.3,23.72,23.19,23.59,23.23,0.07,0.3013,1.0683,907872,21186382.0,6069184000.0,1980071629.5
2019-01-31,'603638,°¬µÏ¾«ÃÜ,23.23,24.21,23.15,24.21,24.06,-0.83,-3.4497,0.7625,647993,15300468.0,6050950400.0,1974122916.45
2019-01-30,'603638,°¬µÏ¾«ÃÜ,24.06,24.63,23.9,24.44,24.12,-0.06,-0.2488,0.8132,691100,16784822.0,6267148800.0,2044657656.9
2019-01-29,'603638,°¬µÏ¾«ÃÜ,24.12,24.77,23.77,24.77,24.48,-0.36,-1.4706,0.5129,435900,10524298.0,6282777600.0,2049756553.8
2019-01-28,'603638,°¬µÏ¾«ÃÜ,24.48,24.78,24.33,24.39,24.39,0.09,0.369,0.3997,339638,8349847.0,6376550400.0,2080349935.2
2019-01-25,'603638,°¬µÏ¾«ÃÜ,24.39,24.52,24.33,24.52,24.34,0.05,0.2054,0.2887,245337,5981428.0,6353107200.0,2072701589.85
2019-01-24,'603638,°¬µÏ¾«ÃÜ,24.34,24.59,24.32,24.59,24.54,-0.2,-0.815,0.2397,203704,4965314.0,6340083200.0,2068452509.1
2019-01-23,'603638,°¬µÏ¾«ÃÜ,24.54,24.59,24.31,24.49,24.5,0.04,0.1633,0.1922,163348,4003084.0,6392179200.0,2085448832.1
2019-01-22,'603638,°¬µÏ¾«ÃÜ,24.5,24.73,24.33,24.6,24.5,0.0,0.0,0.2371,201504,4934401.0,6381760000.0,2082049567.5
2019-01-21,'603638,°¬µÏ¾«ÃÜ,24.5,24.86,24.36,24.86,24.54,-0.04,-0.163,0.6383,542480,13322552.0,6381760000.0,2082049567.5
2019-01-18,'603638,°¬µÏ¾«ÃÜ,24.54,24.58,24.11,24.11,24.16,0.38,1.5728,0.6246,530806,12935688.0,6392179200.0,2085448832.1
2019-01-17,'603638,°¬µÏ¾«ÃÜ,24.16,24.34,24.09,24.09,24.24,-0.08,-0.33,0.5358,455311,11047816.0,6293196800.0,2053155818.4
2019-01-16,'603638,°¬µÏ¾«ÃÜ,24.24,24.24,23.98,24.07,23.98,0.26,1.0842,0.6743,573040,13851900.0,6314035200.0,2059954347.6
2019-01-15,'603638,°¬µÏ¾«ÃÜ,23.98,24.2,23.92,23.99,23.96,0.02,0.0835,0.9758,829223,19905637.0,6246310400.0,2037859127.7
2019-01-14,'603638,°¬µÏ¾«ÃÜ,23.96,24.5,23.96,24.3,24.32,-0.36,-1.4803,0.2633,223792,5402028.0,6241100800.0,2036159495.4
2019-01-11,'603638,°¬µÏ¾«ÃÜ,24.32,24.57,24.28,24.52,24.34,-0.02,-0.0822,0.1725,146603,3573049.0,6334873600.0,2066752876.8
2019-01-10,'603638,°¬µÏ¾«ÃÜ,24.34,24.45,24.27,24.34,24.4,-0.06,-0.2459,0.2632,223680,5442811.0,6340083200.0,2068452509.1
2019-01-09,'603638,°¬µÏ¾«ÃÜ,24.4,24.71,24.15,24.47,24.25,0.15,0.6186,0.2768,235200,5753252.0,6355712000.0,2073551406.0
2019-01-08,'603638,°¬µÏ¾«ÃÜ,24.25,24.43,24.09,24.18,24.49,-0.24,-0.98,0.3246,275884,6671968.0,6316640000.0,2060804163.75
2019-01-07,'603638,°¬µÏ¾«ÃÜ,24.49,24.6,23.96,24.55,24.25,0.24,0.9897,0.729,619552,15018495.0,6379155200.0,2081199751.35
2019-01-04,'603638,°¬µÏ¾«ÃÜ,24.25,24.26,23.85,24.15,24.03,0.22,0.9155,0.3142,267000,6424415.0,6316640000.0,2060804163.75
2019-01-03,'603638,°¬µÏ¾«ÃÜ,24.03,24.31,23.9,24.26,24.16,-0.13,-0.5381,0.2846,241880,5824684.0,6259334400.0,2042108208.45
2019-01-02,'603638,°¬µÏ¾«ÃÜ,24.16,24.49,23.9,24.3,24.21,-0.05,-0.2065,0.2507,213090,5147390.0,6293196800.0,2053155818.4
2018-12-28,'603638,°¬µÏ¾«ÃÜ,24.21,24.53,23.5,24.53,24.39,-0.18,-0.738,1.0585,899529,21792006.0,6306220800.0,2057404899.15
2018-12-27,'603638,°¬µÏ¾«ÃÜ,24.39,25.4,24.2,25.22,24.95,-0.56,-2.2445,0.8279,703585,17305721.0,6353107200.0,2072701589.85
2018-12-26,'603638,°¬µÏ¾«ÃÜ,24.95,25.49,24.9,25.25,25.06,-0.11,-0.4389,0.5014,426120,10712296.0,6498976000.0,2120291294.25
2018-12-25,'603638,°¬µÏ¾«ÃÜ,25.06,26.27,24.5,26.27,26.17,-1.11,-4.2415,1.0292,874628,21892938.0,6527628800.0,2129639271.9
2018-12-24,'603638,°¬µÏ¾«ÃÜ,26.17,26.45,25.98,26.4,26.36,-0.19,-0.7208,1.3254,1126356,29539317.0,6816761600.0,2223968864.55
2018-12-21,'603638,°¬µÏ¾«ÃÜ,26.36,26.7,26.06,26.36,26.41,-0.05,-0.1893,1.2709,1080020,28549614.0,6866252800.0,2240115371.4
2018-12-20,'603638,°¬µÏ¾«ÃÜ,26.41,26.9,26.1,26.89,26.78,-0.37,-1.3816,1.8504,1572526,41742704.0,6879276800.0,2244364452.15
2018-12-19,'603638,°¬µÏ¾«ÃÜ,26.78,28.1,26.78,27.31,27.7,-0.92,-3.3213,2.7828,2364880,65346704.0,6975654400.0,2275807649.7
2018-12-18,'603638,°¬µÏ¾«ÃÜ,27.7,28.15,25.33,25.89,25.69,2.01,7.8241,2.1266,1807186,48413769.0,7215296000.0,2353990735.5
2018-12-17,'603638,°¬µÏ¾«ÃÜ,25.69,25.79,24.35,25.14,25.04,0.65,2.5958,0.9211,782792,19790699.0,6691731200.0,2183177689.35
2018-12-14,'603638,°¬µÏ¾«ÃÜ,25.04,25.3,24.97,25.0,24.88,0.16,0.6431,0.6205,527332,13255770.0,6522419200.0,2127939639.6
2018-12-13,'603638,°¬µÏ¾«ÃÜ,24.88,24.98,24.72,24.95,24.7,0.18,0.7287,0.558,474206,11802616.0,6480742400.0,2114342581.2
2018-12-12,'603638,°¬µÏ¾«ÃÜ,24.7,24.89,24.6,24.85,24.69,0.01,0.0405,0.4772,405560,10035101.0,6433856000.0,2099045890.5
2018-12-11,'603638,°¬µÏ¾«ÃÜ,24.69,24.78,24.36,24.55,24.52,0.17,0.6933,0.2884,245128,6048303.0,6431251200.0,2098196074.35
2018-12-10,'603638,°¬µÏ¾«ÃÜ,24.52,24.72,24.35,24.72,24.52,0.0,0.0,0.3706,314924,7736013.0,6386969600.0,2083749199.8
2018-12-07,'603638,°¬µÏ¾«ÃÜ,24.52,24.71,24.26,24.45,24.5,0.02,0.0816,0.3649,310130,7607736.0,6386969600.0,2083749199.8
2018-12-06,'603638,°¬µÏ¾«ÃÜ,24.5,24.8,24.28,24.8,24.64,-0.14,-0.5682,0.6035,512900,12550584.0,6381760000.0,2082049567.5
2018-12-05,'603638,°¬µÏ¾«ÃÜ,24.64,24.79,24.13,24.3,24.79,-0.15,-0.6051,0.5822,494731,12154548.0,6418227200.0,2093946993.6
2018-12-04,'603638,°¬µÏ¾«ÃÜ,24.79,24.8,24.01,24.01,24.43,0.36,1.4736,0.6794,577399,14206157.0,6457299200.0,2106694235.85
2018-12-03,'603638,°¬µÏ¾«ÃÜ,24.43,24.45,23.74,23.74,23.47,0.96,4.0903,0.8577,728860,17694991.0,6363526400.0,2076100854.45
2018-11-30,'603638,°¬µÏ¾«ÃÜ,23.47,23.99,22.81,23.88,24.0,-0.53,-2.2083,0.6068,515656,12098176.0,6113465600.0,1994518504.05
2018-11-29,'603638,°¬µÏ¾«ÃÜ,24.0,24.45,23.86,24.41,24.24,-0.24,-0.9901,0.3937,334600,8056448.0,6251520000.0,2039558760.0
2018-11-28,'603638,°¬µÏ¾«ÃÜ,24.24,24.37,24.01,24.01,24.21,0.03,0.1239,0.195,165706,4014378.0,6314035200.0,2059954347.6
2018-11-27,'603638,°¬µÏ¾«ÃÜ,24.21,24.6,24.1,24.59,24.22,-0.01,-0.0413,0.4942,420018,10197912.0,6306220800.0,2057404899.15
2018-11-26,'603638,°¬µÏ¾«ÃÜ,24.22,24.84,24.01,24.42,24.42,-0.2,-0.819,1.2002,1019914,24865531.0,6308825600.0,2058254715.3
2018-11-23,'603638,°¬µÏ¾«ÃÜ,24.42,24.94,24.13,24.8,24.82,-0.4,-1.6116,0.8559,727392,17839331.0,6360921600.0,2075251038.3
2018-11-22,'603638,°¬µÏ¾«ÃÜ,24.82,24.84,24.5,24.56,24.66,0.16,0.6488,0.4464,379377,9366334.0,6465113600.0,2109243684.3
2018-11-21,'603638,°¬µÏ¾«ÃÜ,24.66,24.94,24.35,24.37,24.65,0.01,0.0406,0.5306,450870,11128754.0,6423436800.0,2095646625.9
2018-11-20,'603638,°¬µÏ¾«ÃÜ,24.65,25.03,24.6,25.03,24.95,-0.3,-1.2024,0.4963,421768,10465801.0,6420832000.0,2094796809.75
2018-11-19,'603638,°¬µÏ¾«ÃÜ,24.95,25.15,24.88,25.15,24.97,-0.02,-0.0801,0.4244,360670,9025875.0,6498976000.0,2120291294.25
2018-11-16,'603638,°¬µÏ¾«ÃÜ,24.97,25.3,24.86,25.18,25.05,-0.08,-0.3194,0.7664,651305,16367734.0,6504185600.0,2121990926.55
2018-11-15,'603638,°¬µÏ¾«ÃÜ,25.05,25.24,24.82,25.0,25.15,-0.1,-0.3976,0.5784,491514,12274596.0,6525024000.0,2128789455.75
2018-11-14,'603638,°¬µÏ¾«ÃÜ,25.15,25.22,24.31,24.8,24.62,0.53,2.1527,1.0579,899030,22292497.0,6551072000.0,2137287617.25
2018-11-13,'603638,°¬µÏ¾«ÃÜ,24.62,24.72,24.26,24.6,24.56,0.06,0.2443,0.5847,496896,12202756.0,6413017600.0,2092247361.3
2018-11-12,'603638,°¬µÏ¾«ÃÜ,24.56,24.61,23.81,24.03,24.15,0.41,1.6977,0.8871,753897,18457518.0,6397388800.0,2087148464.4
2018-11-09,'603638,°¬µÏ¾«ÃÜ,24.15,24.4,24.01,24.4,24.2,-0.05,-0.2066,0.2322,197300,4781012.0,6290592000.0,2052306002.25
2018-11-08,'603638,°¬µÏ¾«ÃÜ,24.2,24.73,24.1,24.1,24.08,0.12,0.4983,0.5766,489994,11995975.0,6303616000.0,2056555083.0
2018-11-07,'603638,°¬µÏ¾«ÃÜ,24.08,24.41,24.05,24.4,24.18,-0.1,-0.4136,0.4772,405513,9799038.0,6272358400.0,2046357289.2
2018-11-06,'603638,°¬µÏ¾«ÃÜ,24.18,24.89,24.06,24.89,24.93,-0.75,-3.0084,0.7878,669507,16229959.0,6298406400.0,2054855450.7
2018-11-05,'603638,°¬µÏ¾«ÃÜ,24.93,25.0,24.4,25.0,24.86,0.07,0.2816,0.6362,540640,13357010.0,6493766400.0,2118591661.95
2018-11-02,'603638,°¬µÏ¾«ÃÜ,24.86,25.1,24.57,25.1,24.45,0.41,1.6769,0.7925,673492,16663776.0,6475532800.0,2112642948.9
2018-11-01,'603638,°¬µÏ¾«ÃÜ,24.45,25.2,23.89,25.2,24.97,-0.52,-2.0825,1.2433,1056606,26037544.0,6368736000.0,2077800486.75
2018-10-31,'603638,°¬µÏ¾«ÃÜ,24.97,25.25,24.32,24.32,24.32,0.65,2.6727,0.5808,493586,12262968.0,6504185600.0,2121990926.55
2018-10-30,'603638,°¬µÏ¾«ÃÜ,24.32,24.87,24.25,24.87,24.51,-0.19,-0.7752,0.9194,781358,19114843.0,6334873600.0,2066752876.8
2018-10-29,'603638,°¬µÏ¾«ÃÜ,24.51,24.9,24.01,24.5,24.9,-0.39,-1.5663,0.6471,549917,13504118.0,6384364800.0,2082899383.65
2018-10-26,'603638,°¬µÏ¾«ÃÜ,24.9,25.48,24.62,25.35,25.39,-0.49,-1.9299,0.7735,657316,16427396.0,6485952000.0,2116042213.5
2018-10-25,'603638,°¬µÏ¾«ÃÜ,25.39,25.42,23.57,24.79,25.14,0.25,0.9944,0.5447,462926,11563561.0,6613587200.0,2157683204.85
2018-10-24,'603638,°¬µÏ¾«ÃÜ,25.14,25.3,24.8,25.13,25.13,0.01,0.0398,0.6204,527186,13183176.0,6548467200.0,2136437801.1
2018-10-23,'603638,°¬µÏ¾«ÃÜ,25.13,25.9,24.88,25.68,25.25,-0.12,-0.4752,0.878,746107,18742103.0,6545862400.0,2135587984.95
2018-10-22,'603638,°¬µÏ¾«ÃÜ,25.25,25.37,23.75,23.92,23.5,1.75,7.4468,1.0799,917755,22827045.0,6577120000.0,2145785778.75
2018-10-19,'603638,°¬µÏ¾«ÃÜ,23.5,23.5,21.11,22.39,22.48,1.02,4.5374,1.1278,958459,22081783.0,6121280000.0,1997067952.5
2018-10-18,'603638,°¬µÏ¾«ÃÜ,22.48,23.98,22.48,23.58,24.98,-2.5,-10.008,2.6961,2291228,51967130.0,5855590400.0,1910386705.2
2018-10-17,'603638,°¬µÏ¾«ÃÜ,24.98,27.0,24.98,27.0,27.75,-2.77,-9.982,2.6332,2237756,56504549.0,6506790400.0,2122840742.7
2018-10-16,'603638,°¬µÏ¾«ÃÜ,27.75,27.97,25.0,27.97,27.7,0.05,0.1805,1.3846,1176641,31278544.0,7228320000.0,2358239816.25
2018-10-15,'603638,°¬µÏ¾«ÃÜ,27.7,28.08,27.61,28.0,27.77,-0.07,-0.2521,0.5248,446021,12412309.0,7215296000.0,2353990735.5
2018-10-12,'603638,°¬µÏ¾«ÃÜ,27.77,27.93,27.47,27.69,28.05,-0.28,-0.9982,0.4591,390116,10833525.0,7233529600.0,2359939448.55
2018-10-11,'603638,°¬µÏ¾«ÃÜ,28.05,28.06,27.36,27.71,28.26,-0.21,-0.7431,2.024,1720004,47584085.0,7306464000.0,2383734300.75
2018-10-10,'603638,°¬µÏ¾«ÃÜ,28.26,28.57,27.61,27.72,28.08,0.18,0.641,1.5428,1311059,37040387.0,7361164800.0,2401580439.9
2018-10-09,'603638,°¬µÏ¾«ÃÜ,28.08,28.1,27.56,28.0,28.1,-0.02,-0.0712,0.8527,724599,20220441.0,7314278400.0,2386283749.2
2018-10-08,'603638,°¬µÏ¾«ÃÜ,28.1,28.1,27.03,28.04,28.3,-0.2,-0.7067,1.7075,1451053,39869760.0,7319488000.0,2387983381.5
2018-09-28,'603638,°¬µÏ¾«ÃÜ,28.3,28.4,27.55,28.25,28.18,0.12,0.4258,0.8915,757648,21242924.0,7371584000.0,2404979704.5
2018-09-27,'603638,°¬µÏ¾«ÃÜ,28.18,28.95,28.18,28.64,28.64,-0.46,-1.6061,0.4074,346231,9840359.0,7340326400.0,2394781910.7
2018-09-26,'603638,°¬µÏ¾«ÃÜ,28.64,29.18,28.21,28.38,28.26,0.38,1.3447,0.8275,703202,20176639.0,7460147200.0,2433873453.6
2018-09-25,'603638,°¬µÏ¾«ÃÜ,28.26,28.55,27.6,28.0,28.15,0.11,0.3908,0.6543,556020,15747402.0,7361164800.0,2401580439.9
2018-09-21,'603638,°¬µÏ¾«ÃÜ,28.15,28.21,27.32,27.75,27.75,0.4,1.4414,0.9306,790827,22000568.0,7332512000.0,2392232462.25
2018-09-20,'603638,°¬µÏ¾«ÃÜ,27.75,28.1,27.27,28.0,28.08,-0.33,-1.1752,1.283,1090334,30144300.0,7228320000.0,2358239816.25
2018-09-19,'603638,°¬µÏ¾«ÃÜ,28.08,28.16,27.51,28.08,28.09,-0.01,-0.0356,1.3474,1145012,31894216.0,7314278400.0,2386283749.2
2018-09-18,'603638,°¬µÏ¾«ÃÜ,28.09,28.12,27.4,27.4,27.66,0.43,1.5546,1.0495,891883,24623955.0,7316883200.0,2387133565.35
2018-09-17,'603638,°¬µÏ¾«ÃÜ,27.66,28.18,27.21,28.15,28.16,-0.5,-1.7756,0.6479,550569,15248816.0,7204876800.0,2350591470.9
2018-09-14,'603638,°¬µÏ¾«ÃÜ,28.16,29.17,28.1,29.17,29.16,-1.0,-3.4294,1.3574,1153513,32731145.0,7335116800.0,2393082278.4
2018-09-13,'603638,°¬µÏ¾«ÃÜ,29.16,29.3,28.22,28.35,28.29,0.87,3.0753,1.4924,1268224,36387578.0,7595596800.0,2478063893.4
2018-09-12,'603638,°¬µÏ¾«ÃÜ,28.29,28.79,28.01,28.66,28.54,-0.25,-0.876,1.1711,995182,28308641.0,7368979200.0,2404129888.35
2018-09-11,'603638,°¬µÏ¾«ÃÜ,28.54,28.79,28.09,28.17,28.15,0.39,1.3854,0.7516,638739,18149625.0,7434099200.0,2425375292.1
2018-09-10,'603638,°¬µÏ¾«ÃÜ,28.15,29.39,28.0,29.06,29.32,-1.17,-3.9905,1.5724,1336224,37891504.0,7332512000.0,2392232462.25
2018-09-07,'603638,°¬µÏ¾«ÃÜ,29.32,29.85,29.18,29.4,29.4,-0.08,-0.2721,0.7663,651175,19204132.0,7637273600.0,2491660951.8
2018-09-06,'603638,°¬µÏ¾«ÃÜ,29.4,30.08,29.01,30.08,30.0,-0.6,-2.0,1.8035,1532674,44952788.0,7658112000.0,2498459481.0
2018-09-05,'603638,°¬µÏ¾«ÃÜ,30.0,30.64,29.82,30.42,30.42,-0.42,-1.3807,1.3768,1170046,35167357.0,7814400000.0,2549448450.0
2018-09-04,'603638,°¬µÏ¾«ÃÜ,30.42,30.68,29.99,30.32,30.12,0.3,0.996,1.2583,1069344,32545792.0,7923801600.0,2585140728.3
2018-09-03,'603638,°¬µÏ¾«ÃÜ,30.12,30.22,29.6,29.74,29.68,0.44,1.4825,1.5651,1330024,39879365.0,7845657600.0,2559646243.8
2018-08-31,'603638,°¬µÏ¾«ÃÜ,29.68,30.83,29.52,30.83,30.68,-1.0,-3.2595,1.6886,1434990,43245600.0,7731046400.0,2522254333.2
2018-08-30,'603638,°¬µÏ¾«ÃÜ,30.68,31.32,30.3,30.95,31.05,-0.37,-1.1916,1.1344,964012,29610027.0,7991526400.0,2607235948.2
